,unique_id,ds,y
0,AP-AP,2023-10-01 04:00:00+00:00,4042.513
1,AP-AP,2023-10-01 05:00:00+00:00,3850.067
2,AP-AP,2023-10-01 06:00:00+00:00,3734.2
3,AP-AP,2023-10-01 07:00:00+00:00,3687.402
4,AP-AP,2023-10-01 08:00:00+00:00,3679.819
5,AP-AP,2023-10-01 09:00:00+00:00,3689.471
6,AP-AP,2023-10-01 10:00:00+00:00,3779.78
7,AP-AP,2023-10-01 11:00:00+00:00,3900.555
8,AP-AP,2023-10-01 12:00:00+00:00,4080.014
9,AP-AP,2023-10-01 13:00:00+00:00,4236.845
10,AP-AP,2023-10-01 14:00:00+00:00,4376.898
11,AP-AP,2023-10-01 15:00:00+00:00,4517.897
12,AP-AP,2023-10-01 16:00:00+00:00,4699.892
13,AP-AP,2023-10-01 17:00:00+00:00,4847.522
14,AP-AP,2023-10-01 18:00:00+00:00,5033.562
15,AP-AP,2023-10-01 19:00:00+00:00,5219.154
16,AP-AP,2023-10-01 20:00:00+00:00,5408.729
17,AP-AP,2023-10-01 21:00:00+00:00,5514.52
18,AP-AP,2023-10-01 22:00:00+00:00,5425.429
19,AP-AP,2023-10-01 23:00:00+00:00,5397.942
20,AP-AP,2023-10-02 00:00:00+00:00,5210.421
21,AP-AP,2023-10-02 01:00:00+00:00,4892.788
22,AP-AP,2023-10-02 02:00:00+00:00,4536.414
23,AP-AP,2023-10-02 03:00:00+00:00,4254.791
24,AP-AP,2023-10-02 04:00:00+00:00,4043.349
25,AP-AP,2023-10-02 05:00:00+00:00,3942.014
26,AP-AP,2023-10-02 06:00:00+00:00,3875.905
27,AP-AP,2023-10-02 07:00:00+00:00,3884.968
28,AP-AP,2023-10-02 08:00:00+00:00,3959.682
29,AP-AP,2023-10-02 09:00:00+00:00,4169.299
30,AP-AP,2023-10-02 10:00:00+00:00,4548.913
31,AP-AP,2023-10-02 11:00:00+00:00,4788.007
32,AP-AP,2023-10-02 12:00:00+00:00,4851.242
33,AP-AP,2023-10-02 13:00:00+00:00,4969.945
34,AP-AP,2023-10-02 14:00:00+00:00,5077.454
35,AP-AP,2023-10-02 15:00:00+00:00,5265.985
36,AP-AP,2023-10-02 16:00:00+00:00,5443.089
37,AP-AP,2023-10-02 17:00:00+00:00,5663.128
38,AP-AP,2023-10-02 18:00:00+00:00,5807.694
39,AP-AP,2023-10-02 19:00:00+00:00,5973.899
40,AP-AP,2023-10-02 20:00:00+00:00,6146.857
41,AP-AP,2023-10-02 21:00:00+00:00,6220.038
42,AP-AP,2023-10-02 22:00:00+00:00,6068.316
43,AP-AP,2023-10-02 23:00:00+00:00,5998.34
44,AP-AP,2023-10-03 00:00:00+00:00,5736.992
45,AP-AP,2023-10-03 01:00:00+00:00,5375.587
46,AP-AP,2023-10-03 02:00:00+00:00,4961.052
47,AP-AP,2023-10-03 03:00:00+00:00,4620.556
48,AP-AP,2023-10-03 04:00:00+00:00,4321.196
49,AP-AP,2023-10-03 05:00:00+00:00,4144.054
50,AP-AP,2023-10-03 06:00:00+00:00,4032.636
51,AP-AP,2023-10-03 07:00:00+00:00,4008.456
52,AP-AP,2023-10-03 08:00:00+00:00,4050.021
53,AP-AP,2023-10-03 09:00:00+00:00,4246.11
54,AP-AP,2023-10-03 10:00:00+00:00,4623.268
55,AP-AP,2023-10-03 11:00:00+00:00,4851.145
56,AP-AP,2023-10-03 12:00:00+00:00,4914.288
57,AP-AP,2023-10-03 13:00:00+00:00,5009.041
58,AP-AP,2023-10-03 14:00:00+00:00,5177.706
59,AP-AP,2023-10-03 15:00:00+00:00,5363.245
60,AP-AP,2023-10-03 16:00:00+00:00,5591.565
61,AP-AP,2023-10-03 17:00:00+00:00,5840.011
62,AP-AP,2023-10-03 18:00:00+00:00,5988.617
63,AP-AP,2023-10-03 19:00:00+00:00,6167.789
64,AP-AP,2023-10-03 20:00:00+00:00,6325.308
65,AP-AP,2023-10-03 21:00:00+00:00,6360.89
66,AP-AP,2023-10-03 22:00:00+00:00,6185.706
67,AP-AP,2023-10-03 23:00:00+00:00,6077.382
68,AP-AP,2023-10-04 00:00:00+00:00,5829.631
69,AP-AP,2023-10-04 01:00:00+00:00,5474.386
70,AP-AP,2023-10-04 02:00:00+00:00,5092.644
71,AP-AP,2023-10-04 03:00:00+00:00,4652.986
72,AP-AP,2023-10-04 04:00:00+00:00,4372.37
73,AP-AP,2023-10-04 05:00:00+00:00,4184.679
74,AP-AP,2023-10-04 06:00:00+00:00,4072.063
75,AP-AP,2023-10-04 07:00:00+00:00,4034.267
76,AP-AP,2023-10-04 08:00:00+00:00,4109.032
77,AP-AP,2023-10-04 09:00:00+00:00,4305.806
78,AP-AP,2023-10-04 10:00:00+00:00,4654.126
79,AP-AP,2023-10-04 11:00:00+00:00,4823.812
80,AP-AP,2023-10-04 12:00:00+00:00,4951.595
81,AP-AP,2023-10-04 13:00:00+00:00,5023.82
82,AP-AP,2023-10-04 14:00:00+00:00,5188.15
83,AP-AP,2023-10-04 15:00:00+00:00,5394.846
84,AP-AP,2023-10-04 16:00:00+00:00,5633.476
85,AP-AP,2023-10-04 17:00:00+00:00,5851.584
86,AP-AP,2023-10-04 18:00:00+00:00,6028.929
87,AP-AP,2023-10-04 19:00:00+00:00,6201.224
88,AP-AP,2023-10-04 20:00:00+00:00,6329.088
89,AP-AP,2023-10-04 21:00:00+00:00,6307.647
90,AP-AP,2023-10-04 22:00:00+00:00,6118.84
91,AP-AP,2023-10-04 23:00:00+00:00,6006.934
92,AP-AP,2023-10-05 00:00:00+00:00,5729.996
93,AP-AP,2023-10-05 01:00:00+00:00,5359.151
94,AP-AP,2023-10-05 02:00:00+00:00,4950.591
95,AP-AP,2023-10-05 03:00:00+00:00,4578.93
96,AP-AP,2023-10-05 04:00:00+00:00,4320.027
97,AP-AP,2023-10-05 05:00:00+00:00,4123.742
98,AP-AP,2023-10-05 06:00:00+00:00,4016.269
99,AP-AP,2023-10-05 07:00:00+00:00,3965.982
100,AP-AP,2023-10-05 08:00:00+00:00,4018.367
101,AP-AP,2023-10-05 09:00:00+00:00,4207.978
102,AP-AP,2023-10-05 10:00:00+00:00,4610.776
103,AP-AP,2023-10-05 11:00:00+00:00,4780.582
104,AP-AP,2023-10-05 12:00:00+00:00,4862.366
105,AP-AP,2023-10-05 13:00:00+00:00,4951.07
106,AP-AP,2023-10-05 14:00:00+00:00,5063.082
107,AP-AP,2023-10-05 15:00:00+00:00,5206.18
108,AP-AP,2023-10-05 16:00:00+00:00,5393.607
109,AP-AP,2023-10-05 17:00:00+00:00,5593.092
110,AP-AP,2023-10-05 18:00:00+00:00,5674.019
111,AP-AP,2023-10-05 19:00:00+00:00,5771.212
112,AP-AP,2023-10-05 20:00:00+00:00,5860.863
113,AP-AP,2023-10-05 21:00:00+00:00,5825.299
114,AP-AP,2023-10-05 22:00:00+00:00,5741.233
115,AP-AP,2023-10-05 23:00:00+00:00,5788.03
116,AP-AP,2023-10-06 00:00:00+00:00,5621.072
117,AP-AP,2023-10-06 01:00:00+00:00,5370.759
118,AP-AP,2023-10-06 02:00:00+00:00,5012.923
119,AP-AP,2023-10-06 03:00:00+00:00,4657.229
120,AP-AP,2023-10-06 04:00:00+00:00,4375.837
121,AP-AP,2023-10-06 05:00:00+00:00,4196.929
122,AP-AP,2023-10-06 06:00:00+00:00,4109.854
123,AP-AP,2023-10-06 07:00:00+00:00,4097.785
124,AP-AP,2023-10-06 08:00:00+00:00,4140.563
125,AP-AP,2023-10-06 09:00:00+00:00,4320.966
126,AP-AP,2023-10-06 10:00:00+00:00,4700.89
127,AP-AP,2023-10-06 11:00:00+00:00,4930.18
128,AP-AP,2023-10-06 12:00:00+00:00,5049.755
129,AP-AP,2023-10-06 13:00:00+00:00,5126.914
130,AP-AP,2023-10-06 14:00:00+00:00,5177.565
131,AP-AP,2023-10-06 15:00:00+00:00,5222.389
132,AP-AP,2023-10-06 16:00:00+00:00,5248.662
133,AP-AP,2023-10-06 17:00:00+00:00,5319.811
134,AP-AP,2023-10-06 18:00:00+00:00,5376.26
